Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,Battery_Cell,
"C1, C2, C4, C5",603,4,10uF,
"C3, C6",603,2,100nF,
"C7, C9",603,2,4.7uF,
C8,603,1,0.1uF,
D1,D_SOD-323,1,1N5819WS,
D2,603,1,LED,
J1,USB_C_Receptacle_G-Switch_GT-USB-7051x,1,USB_C_Receptacle_USB2.0_14P,
L1,603,1,2.2uH,
"MOUSE-BITE-1MM-3MM_8, MOUSE-BITE-1MM-3MM_7, MOUSE-BITE-1MM-3MM_6, MOUSE-BITE-1MM-3MM_5, MOUSE-BITE-1MM-3MM_4, MOUSE-BITE-1MM-3MM_3, MOUSE-BITE-1MM-3MM_2, MOUSE-BITE-1MM-3MM",mouse-bite-1mm-3mm,8,VAL**,
Q1,SOT95P280X145-6N,1,FS8205,
"R1, R2",603,2,5k1,
R3,603,1,10k,
R4,603,1,100,
"R5, R8",603,2,2k,
"R6, R7",603,2,470,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_1.0x1.0mm,18,TestPoint,
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U10,Texas_DRC0010J_ThermalVias,1,TPS63001,
"U2, U3, U4, U5, U6",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,5,DRV8837,
U7,SOT-23-5,1,MCP73831-2-OT,
U8,IC_BNO085,1,BNO085,
U9,SOT-23-6,1,DW01A,
,Solenoid electromagnet,4,https://www.amazon.com/gp/product/B0F1YNQTFQ/ref=ox_sc_act_title_2?smid=A1THAZDOWP300U&psc=1,
,Micro motor,4,https://www.amazon.com/gp/product/B09BDVHRV7/ref=ox_sc_act_title_1?smid=A36J455FZQ9SRS&psc=1,
