Designator,Mid X,Mid Y,Rotation,Layer
BT1,98.35,-60.1,0.0,top
C1,98.58,-69.6,0.0,top
C2,95.325,-67.85,0.0,top
C3,101.6,-67.85,0.0,top
C4,102.35,-64.85,270.0,top
C5,100.6,-64.85,270.0,top
C6,61.5,-75.5,270.0,top
C7,91.6,-67.85,0.0,top
C8,104.6,-55.85,0.0,top
C9,92.58,-56.85,0.0,top
D1,101.78,-69.6,0.0,top
D2,91.6,-65.6,180.0,top
J1,98.33,-73.85,0.0,top
L1,94.6,-65.1,270.0,top
MOUSE-BITE-1MM-3MM_8,99.05,-81.45,180.0,top
MOUSE-BITE-1MM-3MM_7,115.0,-65.5,270.0,top
MOUSE-BITE-1MM-3MM_6,99.05,-49.55,180.0,top
MOUSE-BITE-1MM-3MM_5,83.1,-65.5,90.0,top
MOUSE-BITE-1MM-3MM_4,63.75,-49.55,180.0,top
MOUSE-BITE-1MM-3MM_3,79.7,-65.5,90.0,top
MOUSE-BITE-1MM-3MM_2,63.75,-81.45,180.0,top
MOUSE-BITE-1MM-3MM,47.8,-65.5,90.0,top
Q1,105.1,-63.85,90.0,top
R1,95.58,-69.6,180.0,top
R2,104.08,-73.85,90.0,top
R3,61.5,-78.5,270.0,top
R4,98.525,-67.85,0.0,top
R5,90.85,-62.775,270.0,top
R6,92.6,-62.85,270.0,top
R7,104.6,-54.1,0.0,top
R8,107.6,-61.1,270.0,top
U1,63.75,-65.35,0.0,top
U10,97.5,-65.1,0.0,top
U2,75.3,-60.75,180.0,top
U3,75.3,-63.75,180.0,top
U4,52.3,-64.0,0.0,top
U5,52.05,-69.6,0.0,top
U6,74.75,-73.3,90.0,top
U7,91.9625,-59.35,0.0,top
U8,58.5,-75.5,90.0,top
U9,104.85,-59.1,270.0,top
